City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Luderitz,NA,2022-11-22 21:15:38,-26.6481,15.1594,63.79,69,3,4.79
230,Isangel,VU,2022-11-22 21:15:38,-19.55,169.2667,84.31,79,6,3.44
231,Szczecin,PL,2022-11-22 21:12:43,53.4289,14.553,36.79,88,100,11.99
232,Nikolskoye,RU,2022-11-22 21:15:38,59.7035,30.7861,26.49,83,100,6.53
233,Lapua,FI,2022-11-22 21:15:39,62.9693,23.0088,24.12,97,50,3.38
234,Khatanga,RU,2022-11-22 21:15:39,71.9667,102.5,-30.86,99,92,3.87
235,Bluff,NZ,2022-11-22 21:10:54,-46.6,168.3333,58.8,65,13,14.65
236,Leh,IN,2022-11-22 21:15:39,34.1667,77.5833,9.84,54,0,3.38
237,Hearst,CA,2022-11-22 21:14:01,49.6835,-83.6665,26.38,85,85,4.74
238,Port-Gentil,GA,2022-11-22 21:15:40,-0.7193,8.7815,78.76,89,20,8.05
239,Quatre Cocos,MU,2022-11-22 21:15:40,-20.2078,57.7625,73.09,83,1,4.94
240,Qostanay,KZ,2022-11-22 21:15:40,53.1667,63.5833,17.89,86,100,6.71
241,Salalah,OM,2022-11-22 21:15:41,17.0151,54.0924,77.09,69,0,4.61
242,Cairns,AU,2022-11-22 21:15:41,-16.9167,145.7667,82.35,76,49,3.44
243,Murud,IN,2022-11-22 21:15:41,18.3258,72.965,73.04,57,28,4.16
244,Agirish,RU,2022-11-22 21:15:42,61.9247,63.0231,-12.21,98,5,1.54
245,Port Blair,IN,2022-11-22 21:15:42,11.6667,92.75,78.93,84,96,4.5
246,Geraldton,AU,2022-11-22 21:15:42,-28.7667,114.6,61.21,94,40,4.61
247,Topolevo,RU,2022-11-22 21:15:43,48.4994,135.1975,14.18,61,0,13.0
248,Puerto Ayora,EC,2022-11-22 21:15:43,-0.7393,-90.3518,80.56,89,60,5.01
